,narrative,drafting
0,researching motion record re: disqualifying expert,0
1,analyzing motion record re: summary judgment,0
2,preparing compendium re: disqualifying expert,0
3,reviewing book of authority re: refusals,0
4,writing memorandum re: summary judgment,1
5,editing compendium re: summary judgment,1
6,writing affidavit re: disqualifying expert,1
7,revising book of authority re: motion to strike,1
8,preparing order re: refusals,0
9,proofing affidavit re: summary judgment,0
10,discussing affidavit re: injunction,0
11,writing memorandum re: disqualifying expert,1
12,finalizing order re: motion to strike,0
13,addressing order re: injunction,0
14,writing notice of motion re: summary judgment,1
15,addressing notice of motion re: enforcing foreign judgment,0
16,addressing factum re: injunction,0
17,discussing compendium re: motion to strike,0
18,writing analysis re: injunction,1
19,discussing compendium re: disqualifying expert,0
20,proofing factum re: disqualifying expert,0
21,briefing factum re: refusals,1
22,drafting order re: motion to strike,1
23,briefing analysis re: summary judgment,1
24,revising memo re: enforcing foreign judgment,1
25,discussing memo re: refusals,0
26,reviewing order re: disqualifying expert,0
27,preparing notice of motion re: injunction,0
28,addressing analysis re: refusals,0
29,preparing book of authority re: disqualifying expert,0
30,proofing order re: injunction,0
31,researching notice of motion re: refusals,0
32,revising book of authority re: summary judgment,1
33,analyzing motion record re: injunction,0
34,addressing order re: enforcing foreign judgment,0
35,attending to memorandum re: refusals,0
36,revising book of authority re: summary judgment,1
37,researching book of authority re: motion to strike,0
38,addressing factum re: enforcing foreign judgment,0
39,reviewing book of authority re: refusals,0
40,finalizing affidavit re: motion to strike,0
41,reviewing notice of motion re: refusals,0
42,editing affidavit re: summary judgment,1
43,attending to factum re: refusals,0
44,analyzing analysis re: motion to strike,0
45,finalizing order re: refusals,0
46,proofing memorandum re: injunction,0
47,researching book of authority re: refusals,0
48,researching compendium re: injunction,0
49,analyzing memo re: motion to strike,0
50,attending to affidavit re: summary judgment,0
51,analyzing compendium re: enforcing foreign judgment,0
52,finalizing order re: disqualifying expert,0
53,writing order re: enforcing foreign judgment,1
54,considering factum re: refusals,0
55,briefing motion record re: disqualifying expert,1
56,preparing analysis re: motion to strike,0
57,finalizing analysis re: enforcing foreign judgment,0
58,attending to analysis re: refusals,0
59,analyzing analysis re: enforcing foreign judgment,0
60,analyzing memo re: enforcing foreign judgment,0
61,considering motion record re: injunction,0
62,editing affidavit re: disqualifying expert,1
63,editing notice of motion re: motion to strike,1
64,addressing motion record re: motion to strike,0
65,attending to book of authority re: enforcing foreign judgment,0
66,briefing book of authority re: summary judgment,1
67,revising motion record re: disqualifying expert,1
68,attending to factum re: injunction,0
69,researching motion record re: refusals,0
70,drafting order re: injunction,1
71,attending to analysis re: injunction,0
72,finalizing memo re: refusals,0
73,editing memorandum re: injunction,1
74,reviewing memo re: refusals,0
75,reviewing compendium re: motion to strike,0
76,writing order re: summary judgment,1
77,addressing factum re: motion to strike,0
78,discussing memorandum re: summary judgment,0
79,revising notice of motion re: summary judgment,1
80,editing compendium re: summary judgment,1
81,editing notice of motion re: motion to strike,1
82,addressing memo re: disqualifying expert,0
83,writing book of authority re: enforcing foreign judgment,1
84,addressing compendium re: enforcing foreign judgment,0
85,editing compendium re: disqualifying expert,1
86,reviewing affidavit re: motion to strike,0
87,researching book of authority re: refusals,0
88,considering memo re: disqualifying expert,0
89,discussing motion record re: summary judgment,0
90,reviewing order re: enforcing foreign judgment,0
91,addressing compendium re: injunction,0
92,researching analysis re: disqualifying expert,0
93,discussing motion record re: summary judgment,0
94,addressing affidavit re: injunction,0
95,discussing order re: motion to strike,0
96,preparing order re: refusals,0
97,considering memorandum re: injunction,0
98,analyzing memo re: refusals,0
99,revising motion record re: refusals,1
100,analyzing motion record re: motion to strike,0
101,revising affidavit re: disqualifying expert,1
102,proofing order re: enforcing foreign judgment,0
103,discussing factum re: enforcing foreign judgment,0
104,reviewing book of authority re: refusals,0
105,proofing factum re: injunction,0
106,editing motion record re: disqualifying expert,1
107,researching order re: injunction,0
108,editing factum re: enforcing foreign judgment,1
109,briefing analysis re: motion to strike,1
110,writing book of authority re: summary judgment,1
111,analyzing factum re: enforcing foreign judgment,0
112,discussing analysis re: refusals,0
113,researching order re: summary judgment,0
114,drafting memo re: disqualifying expert,1
115,analyzing order re: motion to strike,0
116,analyzing motion record re: motion to strike,0
117,attending to notice of motion re: summary judgment,0
118,addressing memo re: refusals,0
119,drafting book of authority re: summary judgment,1
120,writing book of authority re: refusals,1
121,drafting compendium re: motion to strike,1
122,considering affidavit re: injunction,0
123,reviewing book of authority re: motion to strike,0
124,revising notice of motion re: motion to strike,1
125,finalizing motion record re: injunction,0
126,discussing memorandum re: refusals,0
127,revising motion record re: summary judgment,1
128,preparing memo re: motion to strike,0
129,preparing compendium re: summary judgment,0
130,proofing affidavit re: injunction,0
131,researching compendium re: motion to strike,0
132,drafting motion record re: refusals,1
133,analyzing factum re: summary judgment,0
134,analyzing book of authority re: injunction,0
135,briefing affidavit re: injunction,1
136,considering factum re: summary judgment,0
137,considering book of authority re: summary judgment,0
138,researching order re: summary judgment,0
139,analyzing order re: injunction,0
140,reviewing motion record re: injunction,0
141,briefing book of authority re: disqualifying expert,1
142,preparing book of authority re: motion to strike,0
143,writing analysis re: refusals,1
144,writing book of authority re: disqualifying expert,1
145,finalizing affidavit re: summary judgment,0
146,preparing order re: motion to strike,0
147,attending to order re: disqualifying expert,0
148,finalizing factum re: motion to strike,0
149,analyzing book of authority re: summary judgment,0
150,analyzing order re: motion to strike,0
151,reviewing memo re: refusals,0
152,preparing analysis re: refusals,0
153,editing analysis re: disqualifying expert,1
154,considering order re: refusals,0
155,proofing notice of motion re: refusals,0
156,writing factum re: motion to strike,1
157,researching memorandum re: injunction,0
158,drafting memorandum re: disqualifying expert,1
159,writing notice of motion re: injunction,1
160,attending to motion record re: refusals,0
161,proofing factum re: enforcing foreign judgment,0
162,editing memorandum re: enforcing foreign judgment,1
163,attending to order re: enforcing foreign judgment,0
164,preparing memorandum re: disqualifying expert,0
165,finalizing memo re: refusals,0
166,considering memo re: enforcing foreign judgment,0
167,proofing analysis re: refusals,0
168,attending to motion record re: disqualifying expert,0
169,considering motion record re: disqualifying expert,0
170,editing order re: injunction,1
171,revising motion record re: refusals,1
172,discussing memorandum re: injunction,0
173,editing affidavit re: enforcing foreign judgment,1
174,addressing motion record re: summary judgment,0
175,finalizing memo re: injunction,0
176,researching memorandum re: refusals,0
177,discussing memo re: refusals,0
178,preparing memo re: refusals,0
179,considering motion record re: enforcing foreign judgment,0
