,narrative,drafting
0,revising notice of motion re: disqualifying expert,1
1,revising notice of motion re: refusals,1
2,revising analysis re: injunction,1
3,drafting memorandum re: injunction,1
4,briefing memorandum re: disqualifying expert,1
5,analyzing motion record re: enforcing foreign judgment,0
6,researching memo re: disqualifying expert,0
7,analyzing notice of motion re: motion to strike,0
8,revising motion record re: enforcing foreign judgment,1
9,attending to book of authority re: motion to strike,0
10,proofing motion record re: motion to strike,0
11,briefing order re: motion to strike,1
12,proofing notice of motion re: summary judgment,0
13,briefing compendium re: disqualifying expert,1
14,attending to order re: motion to strike,0
15,revising book of authority re: disqualifying expert,1
16,preparing memo re: summary judgment,0
17,briefing affidavit re: disqualifying expert,1
18,reviewing notice of motion re: injunction,0
19,preparing book of authority re: motion to strike,0
20,drafting notice of motion re: injunction,1
21,writing order re: injunction,1
22,finalizing memorandum re: refusals,0
23,writing factum re: refusals,1
24,analyzing notice of motion re: summary judgment,0
25,researching motion record re: enforcing foreign judgment,0
26,preparing compendium re: motion to strike,0
27,analyzing memorandum re: enforcing foreign judgment,0
28,proofing affidavit re: disqualifying expert,0
29,proofing analysis re: disqualifying expert,0
30,drafting memorandum re: injunction,1
31,researching factum re: injunction,0
32,preparing factum re: enforcing foreign judgment,0
33,analyzing notice of motion re: summary judgment,0
34,analyzing book of authority re: motion to strike,0
35,editing book of authority re: refusals,1
36,finalizing compendium re: motion to strike,0
37,revising memo re: refusals,1
38,reviewing memo re: injunction,0
39,editing memo re: injunction,1
40,researching order re: refusals,0
41,writing motion record re: summary judgment,1
42,proofing notice of motion re: enforcing foreign judgment,0
43,reviewing memo re: enforcing foreign judgment,0
44,proofing affidavit re: refusals,0
45,analyzing affidavit re: injunction,0
46,editing factum re: disqualifying expert,1
47,revising motion record re: enforcing foreign judgment,1
48,researching factum re: injunction,0
49,attending to order re: summary judgment,0
50,editing order re: enforcing foreign judgment,1
51,researching affidavit re: summary judgment,0
52,proofing factum re: motion to strike,0
53,briefing affidavit re: disqualifying expert,1
54,analyzing analysis re: refusals,0
55,writing motion record re: disqualifying expert,1
56,reviewing book of authority re: refusals,0
57,writing memorandum re: enforcing foreign judgment,1
58,analyzing analysis re: motion to strike,0
59,finalizing memorandum re: refusals,0
60,editing analysis re: injunction,1
61,finalizing book of authority re: motion to strike,0
62,reviewing affidavit re: motion to strike,0
63,drafting book of authority re: injunction,1
64,revising analysis re: disqualifying expert,1
65,briefing memo re: disqualifying expert,1
66,editing compendium re: injunction,1
67,editing book of authority re: injunction,1
68,revising memorandum re: motion to strike,1
69,reviewing compendium re: refusals,0
70,researching motion record re: summary judgment,0
71,reviewing affidavit re: disqualifying expert,0
72,researching analysis re: motion to strike,0
73,briefing order re: refusals,1
74,analyzing memo re: motion to strike,0
75,finalizing notice of motion re: motion to strike,0
76,writing analysis re: summary judgment,1
77,drafting notice of motion re: enforcing foreign judgment,1
78,reviewing memo re: motion to strike,0
79,attending to memorandum re: disqualifying expert,0
80,briefing notice of motion re: summary judgment,1
81,reviewing motion record re: summary judgment,0
82,revising memo re: enforcing foreign judgment,1
83,revising motion record re: disqualifying expert,1
84,finalizing notice of motion re: refusals,0
85,editing motion record re: disqualifying expert,1
86,drafting order re: summary judgment,1
87,analyzing memo re: motion to strike,0
88,briefing affidavit re: refusals,1
89,attending to affidavit re: enforcing foreign judgment,0
90,writing motion record re: refusals,1
91,reviewing analysis re: motion to strike,0
92,preparing book of authority re: motion to strike,0
93,finalizing memorandum re: injunction,0
94,analyzing order re: motion to strike,0
95,editing affidavit re: enforcing foreign judgment,1
96,revising analysis re: summary judgment,1
97,analyzing book of authority re: disqualifying expert,0
98,proofing compendium re: motion to strike,0
99,proofing factum re: summary judgment,0
100,researching book of authority re: motion to strike,0
101,drafting memorandum re: summary judgment,1
102,reviewing factum re: disqualifying expert,0
103,revising notice of motion re: refusals,1
104,reviewing analysis re: motion to strike,0
105,briefing book of authority re: summary judgment,1
106,editing motion record re: disqualifying expert,1
107,writing order re: summary judgment,1
108,writing memo re: enforcing foreign judgment,1
109,researching memorandum re: disqualifying expert,0
110,proofing factum re: summary judgment,0
111,reviewing compendium re: refusals,0
112,reviewing affidavit re: enforcing foreign judgment,0
113,briefing order re: motion to strike,1
114,researching motion record re: injunction,0
115,analyzing order re: disqualifying expert,0
116,analyzing affidavit re: motion to strike,0
117,proofing compendium re: motion to strike,0
118,attending to factum re: enforcing foreign judgment,0
119,proofing factum re: enforcing foreign judgment,0
120,revising factum re: refusals,1
121,drafting analysis re: refusals,1
122,analyzing notice of motion re: motion to strike,0
123,drafting memorandum re: summary judgment,1
124,preparing motion record re: motion to strike,0
125,analyzing order re: refusals,0
126,reviewing compendium re: disqualifying expert,0
127,writing book of authority re: summary judgment,1
128,briefing notice of motion re: refusals,1
129,drafting memo re: refusals,1
130,proofing motion record re: disqualifying expert,0
131,revising notice of motion re: injunction,1
132,writing notice of motion re: refusals,1
133,finalizing affidavit re: enforcing foreign judgment,0
134,attending to compendium re: motion to strike,0
135,analyzing book of authority re: disqualifying expert,0
136,editing factum re: enforcing foreign judgment,1
137,proofing factum re: refusals,0
138,finalizing notice of motion re: motion to strike,0
139,reviewing compendium re: motion to strike,0
140,revising compendium re: summary judgment,1
141,revising affidavit re: enforcing foreign judgment,1
142,finalizing memo re: summary judgment,0
143,writing notice of motion re: injunction,1
144,drafting order re: summary judgment,1
145,researching book of authority re: enforcing foreign judgment,0
146,researching compendium re: motion to strike,0
147,briefing book of authority re: motion to strike,1
148,preparing motion record re: enforcing foreign judgment,0
149,attending to affidavit re: motion to strike,0
150,finalizing analysis re: injunction,0
151,proofing memorandum re: disqualifying expert,0
152,researching analysis re: refusals,0
153,analyzing memo re: enforcing foreign judgment,0
154,proofing factum re: summary judgment,0
155,writing memorandum re: enforcing foreign judgment,1
156,editing book of authority re: enforcing foreign judgment,1
157,editing motion record re: enforcing foreign judgment,1
158,reviewing factum re: disqualifying expert,0
159,preparing compendium re: summary judgment,0
160,preparing factum re: enforcing foreign judgment,0
161,researching memorandum re: enforcing foreign judgment,0
162,revising book of authority re: disqualifying expert,1
163,analyzing analysis re: refusals,0
164,attending to factum re: motion to strike,0
165,briefing notice of motion re: motion to strike,1
166,attending to book of authority re: injunction,0
167,researching memo re: motion to strike,0
168,proofing factum re: refusals,0
169,revising motion record re: disqualifying expert,1
170,researching notice of motion re: motion to strike,0
171,briefing compendium re: motion to strike,1
172,writing notice of motion re: summary judgment,1
173,drafting book of authority re: disqualifying expert,1
174,finalizing motion record re: injunction,0
175,attending to book of authority re: enforcing foreign judgment,0
176,researching memorandum re: summary judgment,0
177,reviewing analysis re: summary judgment,0
178,attending to order re: summary judgment,0
179,analyzing notice of motion re: summary judgment,0
180,briefing analysis re: enforcing foreign judgment,1
181,attending to book of authority re: refusals,0
182,reviewing compendium re: refusals,0
183,finalizing factum re: motion to strike,0
184,drafting motion record re: summary judgment,1
185,preparing memo re: summary judgment,0
186,analyzing analysis re: summary judgment,0
187,drafting notice of motion re: disqualifying expert,1
188,writing analysis re: disqualifying expert,1
189,revising memo re: refusals,1
190,drafting order re: enforcing foreign judgment,1
191,revising motion record re: enforcing foreign judgment,1
192,writing notice of motion re: injunction,1
193,researching motion record re: enforcing foreign judgment,0
194,revising memorandum re: refusals,1
195,finalizing order re: injunction,0
196,proofing analysis re: refusals,0
197,finalizing memo re: summary judgment,0
198,analyzing notice of motion re: injunction,0
199,finalizing analysis re: summary judgment,0
200,editing affidavit re: refusals,1
201,finalizing analysis re: injunction,0
202,analyzing notice of motion re: enforcing foreign judgment,0
203,preparing affidavit re: motion to strike,0
204,analyzing compendium re: refusals,0
205,drafting analysis re: summary judgment,1
206,revising affidavit re: enforcing foreign judgment,1
207,finalizing book of authority re: injunction,0
208,researching book of authority re: refusals,0
209,writing notice of motion re: injunction,1
210,drafting analysis re: motion to strike,1
211,reviewing affidavit re: summary judgment,0
212,drafting compendium re: summary judgment,1
213,writing order re: refusals,1
